date,cement_RRM_Y3_Gross Profit,fred_private_nonresidential_construction_data,fred_constructioin_in_california,Monthly_Chain_Store_Sales,Monthly_Total_Housing_Inventory
2014-02,23921774.0,359437.0,648.1,9504.0,2210.0
2014-03,26944838.0,355615.0,652.1,3416.0,2170.0
2014-04,27308424.0,360049.0,656.3,4018.0,2110.0
2014-05,28303615.53,356841.0,660.6,4589.0,2050.0
2014-06,28167196.47,360030.0,665.4,4588.0,1860.0
2014-07,31211561.0,359951.0,666.6,4954.0,1880.0
2014-08,30562663.0,360732.0,668.0,4439.0,1900.0
2014-09,29622993.0,363100.0,670.4,4157.0,1960.0
2014-10,32173001.0,373536.0,670.9,4636.0,2230.0
2014-11,25736048.08,373100.0,671.9,4213.0,2250.0
2014-12,22667054.92,370648.0,677.7,4553.0,2290.0
2015-01,28174336.0,380305.0,683.0,6256.0,2350.0
2015-02,27616619.0,387564.0,683.9,9600.0,2330.0
2015-03,29825928.0,399402.0,689.6,3410.0,2280.0
2015-04,31793077.0,413967.0,686.9,3839.0,2240.0
2015-05,29056880.0,425720.0,702.4,4422.0,2080.0
2015-06,34247402.0,432757.0,706.3,4451.0,1860.0
2015-07,35065964.0,421854.0,712.4,4879.0,1860.0
2015-08,31658487.0,426706.0,715.8,4184.0,1900.0
2015-09,30262028.0,427059.0,722.8,4049.0,2010.0
2015-10,35384756.0,421107.0,727.2,4343.0,2220.0
2015-11,30056830.0,422136.0,735.4,4184.0,2280.0
2015-12,30032768.0,416881.0,741.0,4408.0,2250.0
2016-01,24756767.0,411565.0,742.5,5973.0,2260.0
2016-02,28146852.0,419031.0,754.3,9157.0,2270.0
2016-03,33113072.0,431059.0,760.3,3162.0,2190.0
2016-04,30443871.0,434253.0,760.9,3727.0,2110.0
2016-05,30824744.0,442823.0,761.2,4289.0,2040.0
2016-06,35321376.0,451085.0,767.5,4076.0,1760.0
2016-07,34213613.0,455782.0,759.9,4228.0,1820.0
2016-08,35792164.0,458772.0,768.7,4085.0,1870.0
2016-09,34639928.0,461045.0,771.4,3851.0,1960.0
2016-10,32857758.0,456095.0,771.1,3920.0,2120.0
2016-11,31656710.0,470248.0,778.4,3902.0,2140.0
2016-12,29025567.0,471256.0,779.4,3921.0,2110.0
2017-01,19668158.0,455721.0,781.1,5214.0,2110.0
2017-02,27081563.0,448560.0,785.0,8536.0,2010.0
2017-03,38225326.78,447852.0,787.4,2847.0,2030.0
2017-04,37490499.59,447099.0,790.3,3266.0,2010.0
2017-05,40156555.93,449024.0,771.9,3768.0,1850.0
2017-06,39332957.87,444375.0,778.8,3789.0,1650.0
2017-07,34612846.98,438645.0,797.2,3983.0,1680.0
2017-08,39744054.44,437957.0,801.8,3665.0,1730.0
2017-09,34931053.73,440235.0,807.6,3516.0,1800.0
2017-10,37259487.73,442166.0,814.2,3608.0,1920.0
2017-11,34514863.8,440625.0,815.1,3557.0,1970.0
2017-12,32339165.66,446624.0,818.2,3586.0,1940.0
2018-01,31522837.73,465672.0,824.0,4907.0,1920.0
2018-02,33136247.01,478262.0,826.2,7943.0,1870.0
2018-03,33045852.68,469564.0,830.5,2638.0,1860.0
2018-04,36606751.18,472012.0,838.6,3041.0,1800.0
2018-05,37205761.72,473963.0,842.3,3643.0,1670.0
2018-06,37724309.16,462538.0,855.3,3551.0,1460.0
2018-07,37243881.12,462447.0,847.9,3860.0,1520.0
2018-08,40966047.4,466952.0,853.5,3421.0,1580.0
2018-09,34141382.72,464729.0,856.0,3273.0,1640.0
2018-10,36101679.33,462057.0,860.2,3423.0,1800.0
2018-11,32624245.57,451341.0,860.2,3191.0,1870.0
2018-12,29874351.91,460672.0,865.1,3324.0,1930.0
2019-01,28768643.85,458733.0,868.5,4850.0,1920.0
2019-02,22088688.9,465804.0,872.0,6356.0,1910.0
2019-03,34219027.06,474861.0,871.8,2367.0,1880.0
2019-04,39586026.74,481987.0,875.4,2641.0,1850.0
2019-05,39419515.53,490747.0,870.6,3080.0,1740.0
2019-06,40473235.5,499999.0,865.8,3098.0,1530.0
2019-07,40197975.49,509128.0,879.7,3287.0,1590.0
2019-08,41515705.48,519289.0,878.1,3014.0,1630.0
2019-09,35576782.41,520136.0,883.0,2940.0,1670.0
2019-10,38601550.93,523313.0,887.5,3054.0,1830.0
2019-11,33436123.72,530784.0,888.1,2858.0,1910.0
2019-12,27916612.49,523916.0,892.5,2921.0,1920.0
2020-01,38075548.48,523641.0,894.1,4135.0,1900.0
2020-02,35887927.68,521912.0,893.1,6153.0,1830.0
2020-03,45822842.88,515124.0,899.6,2146.0,1820.0
2020-04,32528657.73,497665.0,894.4,2473.0,1770.0
2020-05,41555617.56,493323.0,904.4,1305.0,1640.0
2020-06,42831284.8,496126.0,910.2,11.0,1390.0
2020-07,40539161.42,493986.0,895.0,1049.0,1400.0
2020-08,35010105.81,483997.0,742.8,1524.0,1460.0
2020-09,34702788.06,482665.0,828.8,1591.0,1490.0
2020-10,36725333.26,484111.0,851.7,1739.0,1460.0
2020-11,31638340.68,478616.0,841.6,1786.0,1550.0
2020-12,35330426.2,477990.0,848.7,1913.0,1540.0
2021-01,31342836.86,483100.0,851.4,2357.0,1500.0
2021-02,35563236.55,475932.0,865.4,3492.0,1490.0
2021-03,42796809.19,486556.0,867.6,1273.0,1460.0
2021-04,40755571.4,484545.0,873.5,1495.0,1420.0
2021-05,38063636.03,480155.0,874.4,2103.0,1280.0
2021-06,39525271.98,484264.0,878.6,2159.0,1060.0
2021-07,36547461.87,488965.0,885.3,2646.0,1030.0
2021-08,37740543.14,486177.0,885.7,2899.0,1030.0
2021-09,35064380.51,481689.0,883.8,3034.0,1050.0
2021-10,37059163.83,486771.0,877.3,3200.0,1150.0
2021-11,32910069.55,495932.0,878.3,2787.0,1210.0
2021-12,28326670.99,495533.0,878.1,3211.0,1230.0
2022-01,36486106.72,499790.0,875.8,4222.0,1310.0
2022-02,31665978.3,503217.0,881.2,6217.0,1280.0
2022-03,31840463.27,500595.0,882.0,2025.0,1260.0
2022-04,35828395.0,499524.0,884.5,2638.0,1230.0
2022-05,32509359.44,501088.0,885.5,2513.0,1110.0
2022-06,36672842.83,514258.0,907.0,2628.0,880.0
2022-07,37752162.47,526915.0,915.9,2815.0,860.0
2022-08,43954353.18,532434.0,904.5,2570.0,870.0
2022-09,42805565.61,552226.0,911.6,2397.0,950.0
2022-10,46826844.7,561408.0,912.0,2460.0,1030.0
2022-11,40433662.79,572928.0,920.4,2408.0,1150.0
2022-12,42054782.37,569978.0,920.1,2549.0,1260.0
2023-01,29699491.91,572141.9842592487,919.7,3252.0,1310.0
